Student ID,First Name,Last Name,CNIC,Email,Phone Number,Credit Hours,CGPA
52K-8676,Katrina,Bradford,55215-3857125-2,gonzalezkathleen@gmail.com,+92 6574254404,90,3.39
83K-2546,Barbara,Simmons,29654-1769260-5,quinnwilliam@gmail.com,+92 7141486684,85,3.41
32K-2532,Holly,Lewis,81921-5775195-4,michaelarias@gmail.com,+92 0720424658,72,3.99
75K-5632,Steven,Walter,10264-9086831-1,camerontaylor@gmail.com,+92 1310944294,42,2.4
64K-5244,Robert,Lambert,67559-5023350-7,penadavid@gmail.com,+92 1625471382,74,2.31
78K-6251,Suzanne,Cox,90693-8367602-6,jamessullivan@gmail.com,+92 6067484926,55,3.39
36K-5091,Kristina,Lewis,68111-3082426-2,richard52@gmail.com,+92 7393100115,47,3.1
41K-0931,Megan,King,90381-6900960-8,davidlong@gmail.com,+92 0531370713,69,2.45
23K-0828,Lindsey,Richmond,49673-7709871-9,andrew29@gmail.com,+92 6419965462,80,3.32
38K-5198,Ann,Weber,18375-4894663-5,ricky28@gmail.com,+92 6683889537,80,2.24
10K-1077,Tony,Dawson,59954-5426980-3,moorebrian@gmail.com,+92 0060564914,19,3.94
02K-5809,Heather,Hinton,58664-2821632-7,vwaters@gmail.com,+92 9547391946,108,3.1
55K-2922,Caleb,Lawrence,34046-5246821-5,daniel52@gmail.com,+92 9334982773,88,3.58
70K-5990,Tony,Shannon,28986-0259134-8,anthonylogan@gmail.com,+92 3187660314,100,3.55
52K-1565,Randy,Wheeler,19292-0738602-1,dennis10@gmail.com,+92 2811485308,125,3.48
45K-9952,Kristin,Whitehead,38577-6818183-1,jburke@gmail.com,+92 5628443596,81,3.25
31K-4846,Michelle,Robinson,59055-0635968-7,wparker@gmail.com,+92 4936249355,35,3.91
20K-9703,Bridget,Jenkins,39861-4800850-6,gallagheranita@gmail.com,+92 0496955507,81,3.57
96K-1460,Lori,Bell,35822-9137837-4,gilbert20@gmail.com,+92 9409572516,69,3.9
43K-8967,Joanne,Hall,40285-7846805-4,walkerbrian@gmail.com,+92 6682816374,113,3.38
62K-0006,Jean,Weber,72888-1304250-4,gordonkaren@gmail.com,+92 5854326672,35,3.81
27K-5109,April,Rodriguez,84244-0898746-7,nicholasjohnson@gmail.com,+92 2685913617,63,3.65
17K-5875,Julie,Adams,69864-9791410-0,cynthia81@gmail.com,+92 1830856863,28,2.64
09K-7970,Christopher,Robinson,87791-7776380-5,aclark@gmail.com,+92 1594939019,50,3.13
37K-9685,Patricia,Anderson,34786-0451198-2,jjohnson@gmail.com,+92 6843004935,130,2.53
10K-2614,Jessica,Parker,68656-6423437-7,david10@gmail.com,+92 4597518176,40,3.22
79K-5409,William,Cox,61134-3174430-0,davidlane@gmail.com,+92 8393287948,30,3.11
35K-5070,Amber,Smith,49091-7314880-7,grahamalyssa@gmail.com,+92 8224277308,51,2.92
61K-9326,Jeffrey,Barnes,15475-7575304-2,ewalker@gmail.com,+92 2913970227,27,2.73
93K-8045,Jacob,Daniel,39378-2900420-4,kyle39@gmail.com,+92 8827433903,125,3.1
97K-9900,David,Hughes,99153-9527402-2,curtissmith@gmail.com,+92 4127401210,103,3.17
61K-5602,William,Campbell,64223-3103546-3,tammyanderson@gmail.com,+92 2292116537,76,3.77
00K-9230,Kathryn,Blair,74380-8815068-0,robin11@gmail.com,+92 1509410701,23,3.87
69K-5248,Rachel,Wiggins,91913-3293900-7,stephen18@gmail.com,+92 0154258316,78,2.12
32K-5713,David,Wright,70097-8152292-9,tinaabbott@gmail.com,+92 2526590686,88,3.14
05K-4087,Melissa,Walker,51907-7558918-7,lburns@gmail.com,+92 7656055848,102,3.59
70K-9433,Nicole,Watson,19789-8963064-4,brian27@gmail.com,+92 8367253268,20,2.39
16K-6230,Dwayne,Underwood,33301-0167896-3,munozsara@gmail.com,+92 3954848787,29,3.84
46K-4557,Albert,Phillips,82251-3712384-9,mejiajohn@gmail.com,+92 8703971455,33,3.72
38K-7012,Craig,Mendoza,43670-0099930-1,karinawood@gmail.com,+92 9216733781,23,3.44
85K-1171,Kyle,Green,30324-1435367-0,charlesthomas@gmail.com,+92 7893755118,120,3.16
79K-1306,Juan,Johnson,10050-8814208-5,ejenkins@gmail.com,+92 7769041426,87,3.94
71K-1544,Carol,Cardenas,61044-6233138-5,rogersmary@gmail.com,+92 1669389879,96,2.8
63K-3048,Leslie,Dixon,48452-2110825-0,joseph47@gmail.com,+92 9594489478,77,2.91
92K-3981,David,Martin,62689-9157071-6,browncody@gmail.com,+92 6592499459,117,3.73
43K-9214,Jamie,Padilla,83864-5107646-0,tmarshall@gmail.com,+92 6536556841,18,3.16
97K-6137,Katie,Hawkins,22724-3941328-0,kramercaleb@gmail.com,+92 3257828122,48,2.23
74K-1436,Dana,Thomas,31443-4709872-4,annecontreras@gmail.com,+92 8100955851,46,2.36
67K-8504,Erin,Hicks,41877-3583527-8,rodriguezthomas@gmail.com,+92 4356468937,108,2.55
17K-8983,Scott,Stewart,25360-6830192-4,catherine67@gmail.com,+92 1193488624,65,3.59
60K-3241,Charles,Yu,55847-5405705-8,yhorne@gmail.com,+92 9497426997,76,2.4
73K-1447,Nicholas,Wright,21953-3985539-3,codyscott@gmail.com,+92 7356327875,93,3.9
56K-4719,Anthony,Morgan,78851-9014116-2,jamiewilliams@gmail.com,+92 4307440937,44,2.28
31K-1522,George,Anderson,61139-1932931-6,yoderjoshua@gmail.com,+92 8395007182,76,3.89
20K-2905,Joel,Jacobs,10363-6687135-1,brodriguez@gmail.com,+92 4038012311,27,2.67
25K-9285,Kristen,Price,74568-6433150-0,millersarah@gmail.com,+92 1420914723,33,3.47
66K-1811,Michelle,Davis,49866-0888440-2,tammy09@gmail.com,+92 0402504716,44,2.42
00K-8668,Justin,Booker,49818-2523366-4,caldwellmarissa@gmail.com,+92 4995918996,70,2.13
06K-0878,Marie,Cantrell,89973-6870512-5,glenn20@gmail.com,+92 8635485796,57,2.1
95K-9980,Sergio,Armstrong,53361-7179808-3,robinsonwayne@gmail.com,+92 4548448866,116,2.43
91K-8793,Rebecca,Molina,43224-0124435-9,jack29@gmail.com,+92 8719843871,81,2.4
09K-1431,Sherry,James,23094-8108922-7,anna06@gmail.com,+92 7023736208,20,3.49
70K-8228,Timothy,Kramer,12901-8086619-4,tiffanymcmillan@gmail.com,+92 1747126552,18,3.92
29K-8871,Teresa,Schmidt,19925-0298935-9,eric26@gmail.com,+92 1083929240,91,2.6
30K-8282,Richard,Lloyd,85006-9102167-6,ericmartinez@gmail.com,+92 8109543184,106,2.27
65K-7574,Jason,Thompson,59404-2086355-4,kelliott@gmail.com,+92 0400929733,110,2.5
19K-4652,Jesse,Cooper,35348-0411574-5,charlesbowers@gmail.com,+92 6765799674,93,3.46
96K-5218,Jason,Kane,51648-0295505-4,gjones@gmail.com,+92 6522422731,93,2.52
09K-2368,Emily,Thompson,99586-1278355-8,perezchristopher@gmail.com,+92 4955445916,27,2.61
98K-7169,Shane,Taylor,91701-7164196-8,michellebrown@gmail.com,+92 9781348375,60,3.27
11K-8451,Whitney,Hamilton,87883-6647697-2,ramossara@gmail.com,+92 4468208206,116,3.21
55K-6619,Jerry,Braun,25306-6589612-9,efoster@gmail.com,+92 6531994345,127,3.7
35K-7133,Tiffany,Wilkinson,49955-7268157-5,uramirez@gmail.com,+92 6069606002,37,3.24
71K-0903,Vickie,Hill,50131-4676034-9,sstewart@gmail.com,+92 5192582192,63,3.44
46K-5488,Zachary,English,29081-3378264-3,kelly24@gmail.com,+92 0637978698,74,3.96
04K-8981,Peter,Peterson,97441-0349514-2,daniel87@gmail.com,+92 9002613859,103,2.56
69K-6609,Valerie,Holmes,88118-5190831-6,travis58@gmail.com,+92 6163287021,50,2.26
48K-1071,Christopher,Walker,36761-2677595-5,adrienneramos@gmail.com,+92 8102523795,117,2.28
70K-9753,Robert,Williams,75073-3623006-4,larrymarsh@gmail.com,+92 8097482966,91,3.5
93K-7279,Angela,Olson,53438-2512089-5,gamblepamela@gmail.com,+92 9899733060,129,2.25
72K-8670,Mark,Little,17581-8430065-1,phampaul@gmail.com,+92 2743907699,59,3.92
39K-9126,Rebekah,Holland,57410-0478281-6,smithstacey@gmail.com,+92 1013935264,58,3.1
91K-5539,Matthew,Adams,97965-7031426-3,lewiscory@gmail.com,+92 2175861358,98,3.27
55K-1996,Eric,Williams,77056-0492540-1,sean75@gmail.com,+92 9949271507,108,3.24
04K-5574,Lauren,Steele,33356-5313387-5,curtishayes@gmail.com,+92 5281397699,76,3.59
39K-3475,Martha,Owens,96095-5473772-6,randy62@gmail.com,+92 9640185494,80,2.39
06K-0149,John,Henry,14677-8674066-0,liurita@gmail.com,+92 6105336641,40,2.44
44K-1123,James,Flores,42003-8983370-2,mcmillanaudrey@gmail.com,+92 8268780299,31,2.15
74K-0447,Kayla,Gutierrez,95339-5938944-3,wallacebrittany@gmail.com,+92 6447232879,112,2.78
01K-2647,Ryan,Allen,45631-5943710-2,madison37@gmail.com,+92 8679603418,61,2.64
69K-5491,Christine,Cook,93904-7150227-7,seanhall@gmail.com,+92 5653842997,46,3.83
32K-8191,Johnny,Evans,11390-6652046-5,wilcoxchase@gmail.com,+92 4697380578,31,2.8
36K-6764,Stephanie,Simon,81803-9137218-8,markcunningham@gmail.com,+92 2645621075,76,2.23
46K-6128,Russell,Smith,55906-4192833-2,perkinsdenise@gmail.com,+92 5533911216,53,3.94
75K-1658,Cody,Arias,50196-0475658-9,carolclark@gmail.com,+92 6425126813,29,3.94
66K-3262,John,Lewis,44587-4587899-8,mark54@gmail.com,+92 8164608406,63,2.82
01K-2045,Margaret,Atkins,50382-3414824-9,weisscrystal@gmail.com,+92 0946456382,71,3.39
08K-9230,Maurice,Smith,58846-6752959-1,imoses@gmail.com,+92 3891361727,105,3.88
40K-4613,Kimberly,Smith,59139-5534744-3,greenveronica@gmail.com,+92 2196269629,80,3.58
31K-5136,Gregory,Dunn,63862-0553225-5,milleralicia@gmail.com,+92 7715142691,89,2.52
49K-9887,Ariana,May,62240-8716227-5,esparzajames@gmail.com,+92 5911908048,75,3.6
70K-7720,Lisa,Rodriguez,30723-3394999-8,melissa87@gmail.com,+92 9138514685,113,2.54
09K-2247,Marcus,Stokes,42465-0828609-7,guy21@gmail.com,+92 4809192976,59,3.69
67K-8587,Mark,Ryan,55020-0575906-1,scollier@gmail.com,+92 1397524951,57,2.22
56K-9881,Michael,Williamson,58649-7427765-1,clairejohnson@gmail.com,+92 9521849125,38,2.36
48K-5260,Tina,Parsons,48206-2035882-3,christopherwillis@gmail.com,+92 7706520390,108,2.65
86K-7283,Rick,Hunter,67668-4776548-3,madisonguzman@gmail.com,+92 6291442294,24,2.45
90K-5238,Maria,King,44262-6363922-3,justin53@gmail.com,+92 5745888207,43,2.71
49K-8866,Brian,Lopez,20933-1662197-2,jefferyscott@gmail.com,+92 5266131271,117,3.52
54K-1999,John,Jenkins,57073-0631803-7,shawnjohnson@gmail.com,+92 6316091871,53,2.36
12K-5176,Lauren,Gaines,17102-1627598-8,olsonvincent@gmail.com,+92 7543618453,115,2.95
84K-9029,Cathy,Combs,42412-7131928-0,harperbradley@gmail.com,+92 8757950417,28,2.31
10K-2794,Gene,Lopez,50279-4082275-3,brian83@gmail.com,+92 7477645663,41,3.74
30K-5908,Jason,Reed,88503-6128508-2,brycebrooks@gmail.com,+92 4431534430,56,3.34
26K-1349,Ashley,Stuart,41403-2509561-7,zhart@gmail.com,+92 3670627661,121,3.98
06K-8483,Patrick,Cook,85348-3639921-5,arthur67@gmail.com,+92 1219611472,28,2.89
73K-2908,Mark,Oconnell,89778-0891815-4,michael07@gmail.com,+92 1910596189,104,3.27
83K-4455,Jennifer,Vincent,71483-8800531-0,leederek@gmail.com,+92 7379406914,17,2.31
